Date,Open,High,Low,Close,Adj Close,Volume
10-09-2020,38516.87891,38878.25,38367.07031,38840.32031,38840.32031,16500
11-09-2020,38865.17188,38978.51953,38711.80078,38854.55078,38854.55078,11400
14-09-2020,39073.51172,39230.16016,38573.17188,38756.62891,38756.62891,14700
15-09-2020,38904.67188,39102.25,38753.67969,39044.35156,39044.35156,11600
16-09-2020,39161.01172,39359.51172,39037.96094,39302.85156,39302.85156,11700
17-09-2020,39120.64063,39234.80859,38926.33984,38979.85156,38979.85156,11400
18-09-2020,39200.42188,39200.42188,38635.73047,38845.82031,38845.82031,14300
21-09-2020,38812.69141,38990.76172,37938.53125,38034.14063,38034.14063,15800
22-09-2020,38200.71094,38209.96875,37531.14063,37734.07813,37734.07813,15300
23-09-2020,38124.94141,38140.07031,37313.08984,37668.42188,37668.42188,15000
24-09-2020,37282.17969,37304.26172,36495.98047,36553.60156,36553.60156,13900
25-09-2020,36991.89063,37471.17188,36730.51953,37388.66016,37388.66016,13500
28-09-2020,37756.25,38035.87109,37544.05078,37981.62891,37981.62891,13600
29-09-2020,38176.85938,38235.94141,37831.35156,37973.21875,37973.21875,10600
30-09-2020,38068.89063,38236.33984,37828.10938,38067.92969,38067.92969,18400
01-10-2020,38410.19922,38738.89063,38410.19922,38697.05078,38697.05078,12900
05-10-2020,38956.78125,39263.85156,38819.89063,38973.69922,38973.69922,15500
06-10-2020,39336.33984,39623.76172,39191.10156,39574.57031,39574.57031,11300
07-10-2020,39633.19141,39968.03906,39450.82031,39878.94922,39878.94922,15000
08-10-2020,40204.32031,40468.87891,40062.23047,40182.67188,40182.67188,14400
09-10-2020,40226.25,40585.35938,40066.53906,40509.48828,40509.48828,16600
12-10-2020,40716.94922,40905.48828,40387.39844,40593.80078,40593.80078,17600
13-10-2020,40592.53906,40786.82031,40461.96875,40625.51172,40625.51172,11000
14-10-2020,40623.19141,40880.25,40279.55078,40794.73828,40794.73828,15000
15-10-2020,41048.05078,41048.05078,39667.46875,39728.41016,39728.41016,30400
16-10-2020,39936.60938,40125.71094,39699.42188,39982.98047,39982.98047,11000
19-10-2020,40318.57031,40519.48047,40211.21875,40431.60156,40431.60156,12300
20-10-2020,40420.28906,40732.01172,40305.58984,40544.37109,40544.37109,12100
21-10-2020,40767.14063,40976.01953,40150.48047,40707.30859,40707.30859,16700
22-10-2020,40531.30859,40721.57031,40309.05078,40558.48828,40558.48828,13900
23-10-2020,40728.39063,40811.12109,40590.89844,40685.5,40685.5,12400
26-10-2020,40649.76172,40724.39844,39948.28906,40145.5,40145.5,10100
27-10-2020,40199.07813,40555.60156,39978.39063,40522.10156,40522.10156,13900
28-10-2020,40664.35156,40664.35156,39774.60156,39922.46094,39922.46094,29400
29-10-2020,39537.17188,40010.82813,39524.25,39749.85156,39749.85156,19500
30-10-2020,39779.82031,39988.25,39241.87109,39614.07031,39614.07031,12000
02-11-2020,39880.37891,39968.03125,39334.92188,39757.57813,39757.57813,15400
03-11-2020,39990.75,40354.73047,39952.78906,40261.12891,40261.12891,21400
04-11-2020,40171.71094,40693.51172,40076.46875,40616.14063,40616.14063,20900
05-11-2020,41112.12109,41370.91016,41030.17188,41340.16016,41340.16016,42600
06-11-2020,41438.76172,41954.92969,41383.28906,41893.05859,41893.05859,19000
09-11-2020,42273.96875,42645.32813,42263.64063,42597.42969,42597.42969,24300
10-11-2020,42959.25,43316.44141,42660.08984,43277.64844,43277.64844,28700
11-11-2020,43444.05859,43708.46875,42970.21094,43593.67188,43593.67188,30300
12-11-2020,43291.89063,43543.96094,43127.55078,43357.19141,43357.19141,14500
13-11-2020,43298.92188,43522.25,43053.37109,43443,43443,24400
14-11-2020,null,null,null,null,null,null
17-11-2020,44095.85156,44161.16016,43699.21875,43952.71094,43952.71094,20900
18-11-2020,43978.57813,44215.48828,43785.78125,44180.05078,44180.05078,18300
19-11-2020,43902.23828,44230,43518.10938,43599.96094,43599.96094,24100
20-11-2020,43732.14063,44013.01953,43453.75,43882.25,43882.25,17100
23-11-2020,44164.17188,44271.14844,43747.21875,44077.14844,44077.14844,17800
24-11-2020,44341.19141,44601.62891,44247.12109,44523.01953,44523.01953,17900
25-11-2020,44749.73047,44825.37109,43757.96875,43828.10156,43828.10156,19100
26-11-2020,43967.58984,44361.78125,43582.39844,44259.73828,44259.73828,14600
27-11-2020,44325.03125,44407.28125,43995.41016,44149.71875,44149.71875,15700
01-12-2020,44435.82813,44730.78906,44118.10156,44655.44141,44655.44141,16000
02-12-2020,44729.51953,44729.64063,44169.96875,44618.03906,44618.03906,16000
03-12-2020,44902.01953,44953.01172,44551.42188,44632.64844,44632.64844,30700
04-12-2020,44665.91016,45148.28125,44665.91016,45079.55078,45079.55078,27600
07-12-2020,45099.92188,45458.92188,45024.46875,45426.96875,45426.96875,18700
08-12-2020,45568.80078,45742.23047,45335.17188,45608.51172,45608.51172,18200
09-12-2020,45891.03906,46164.10156,45792.01172,46103.5,46103.5,20700
10-12-2020,45999.42188,46043.96875,45685.87109,45959.87891,45959.87891,12700
11-12-2020,46060.32031,46309.62891,45706.21875,46099.01172,46099.01172,26300
14-12-2020,46284.69922,46373.33984,45951.53125,46253.46094,46253.46094,18400
15-12-2020,46287.39063,46350.30078,45841.67188,46263.17188,46263.17188,16400
16-12-2020,46573.30859,46704.96875,46402.19922,46666.46094,46666.46094,13100
17-12-2020,46774.32031,46992.57031,46627.60156,46890.33984,46890.33984,0
